"科尔号","DDG67","阿利·伯克级I型","驱逐舰","1996年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"沙利文号","DDG68","阿利·伯克级I型","驱逐舰","1997年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"米利厄斯号","DDG69","阿利·伯克级I型","驱逐舰","1996年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"霍珀号","DDG70","阿利·伯克级I型","驱逐舰","1997年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"罗斯号","DDG71","阿利·伯克级I型","驱逐舰","1997年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"马汉号","DDG72","阿利·伯克级II型","驱逐舰","1998年","服役","155.3","20.4","6.3","燃气动力","4200","31","9033"
"迪凯特号","DDG73","阿利·伯克级II型","驱逐舰","1998年","服役","155.3","20.4","6.3","燃气动力","4200","31","9033"
"麦克福尔号","DDG74","阿利·伯克级II型","驱逐舰","1998年","服役","155.3","20.4","6.3","燃气动力","4200","31","9033"
"唐纳德·库克号","DDG75","阿利·伯克级II型","驱逐舰","1998年","服役","155.3","20.4","6.3","燃气动力","4200","31","9033"
"希金斯号","DDG76","阿利·伯克级II型","驱逐舰","1999年","服役","155.3","20.4","6.3","燃气动力","4200","31","9033"
"奥凯恩号","DDG77","阿利·伯克级II型","驱逐舰","1999年","服役","155.3","20.4","6.3","燃气动力","4200","31","9033"
"波特号","DDG78","阿利·伯克级II型","驱逐舰","1999年","服役","155.3","20.4","6.3","燃气动力","4200","31","9033"
"奥斯卡·奥斯汀号","DDG79","阿利·伯克级IIA型","驱逐舰","2000年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"罗斯福号","DDG80","阿利·伯克级IIA型","驱逐舰","2000年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"温斯顿·丘吉尔号","DDG81","阿利·伯克级IIA型","驱逐舰","2001年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"拉森号","DDG82","阿利·伯克级IIA型","驱逐舰","2001年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"霍华德号","DDG83","阿利·伯克级IIA型","驱逐舰","2001年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"巴尔克利号","DDG84","阿利·伯克级IIA型","驱逐舰","2001年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"麦坎贝尔号","DDG85","阿利·伯克级IIA型","驱逐舰","2002年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"肖普号","DDG86","阿利·伯克级IIA型","驱逐舰","2002年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"梅森号","DDG87","阿利·伯克级IIA型","驱逐舰","2003年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"普雷贝尔号","DDG88","阿利·伯克级IIA型","驱逐舰","2002年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"马斯廷号","DDG89","阿利·伯克级IIA型","驱逐舰","2003年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"查菲号","DDG90","阿利·伯克级IIA型","驱逐舰","2003年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"平克尼号","DDG91","阿利·伯克级IIA型","驱逐舰","2004年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"莫姆森号","DDG92","阿利·伯克级IIA型","驱逐舰","2004年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"钟云号","DDG93","阿利·伯克级IIA型","驱逐舰","2004年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"尼采号","DDG94","阿利·伯克级IIA型","驱逐舰","2005年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"詹姆斯·威廉斯号","DDG95","阿利·伯克级IIA型","驱逐舰","2004年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"班布里奇号","DDG96","阿利·伯克级IIA型","驱逐舰","2005年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"哈尔西号","DDG97","阿利·伯克级IIA型","驱逐舰","2005年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"福里斯特·舍曼号","DDG98","阿利·伯克级IIA型","驱逐舰","2006年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"法拉格特号","DDG99","阿利·伯克级IIA型","驱逐舰","2006年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"自由号","LCS1","自由级","濒海战斗舰","2008年","现役","127.4","13.2","3.9","柴油+燃气动力","","45","3089"
"加布里埃尔吉福兹号","LCS10","独立级","濒海战斗舰","2017年","服役","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"苏城号","LCS11","自由级","濒海战斗舰","","舾装","127.4","13.2","3.9","柴油+燃气动力","","45","3089"
"奥马哈号","LCS12","独立级","濒海战斗舰","","舾装","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"威奇托号","LCS13","自由级","濒海战斗舰","","建造","127.4","13.2","3.9","柴油+燃气动力","","45","3089"
"曼切斯特号","LCS14","独立级","濒海战斗舰","","舾装","127.6","31.6","4.3","柴油+燃气动力","","47","2784"
"比林斯号","LCS15","自由级","濒海战斗舰","","建造","127.4","13.2","3.9","柴油+燃气动力","","45","3089"
