"沃思堡号","LCS3","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"科罗拉多号","LCS4","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"密尔沃基号","LCS5","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"杰克逊号","LCS6","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"底特律号","LCS7","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"蒙哥马利号","LCS8","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"小石城号","LCS9","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"美利坚号","LHA6","F-35B战斗机","鱼鹰运输机","MH-53E直升机","AH-1攻击直升机","MH-60S直升机","","",""
"的黎波里号","LHA7","F-35B战斗机","鱼鹰运输机","MH-53E直升机","AH-1攻击直升机","MH-60S直升机","","",""
"黄蜂号","LHD1","CH-46运输直升机","CH-53运输直升机","AH-1W攻击直升机","鱼鹰运输机","AV-8B鹞式攻击机","LVTP-7两栖突击载具","LCAC气垫登陆艇","LCU通用登陆艇"
"埃塞克斯号","LHD2","CH-46运输直升机","CH-53运输直升机","AH-1W攻击直升机","鱼鹰运输机","AV-8B鹞式攻击机","LVTP-7两栖突击载具","LCAC气垫登陆艇","LCU通用登陆艇"
"基萨奇号","LHD3","CH-46运输直升机","CH-53运输直升机","AH-1W攻击直升机","鱼鹰运输机","AV-8B鹞式攻击机","LVTP-7两栖突击载具","LCAC气垫登陆艇","LCU通用登陆艇"
"拳师号","LHD4","CH-46运输直升机","CH-53运输直升机","AH-1W攻击直升机","鱼鹰运输机","AV-8B鹞式攻击机","LVTP-7两栖突击载具","LCAC气垫登陆艇","LCU通用登陆艇"
"巴丹号","LHD5","CH-46运输直升机","CH-53运输直升机","AH-1W攻击直升机","鱼鹰运输机","AV-8B鹞式攻击机","LVTP-7两栖突击载具","LCAC气垫登陆艇","LCU通用登陆艇"
